[ 2012-05-17T15:47:32+08:00 ] /yiyuan/index.php/admin/public/checklogin | SQL: UPDATE `yiyuan_admin` SET `last_login_time`=1337240852 WHERE ( `user_id` = '8' ) [ RunTime:0.000473s ]
[ 2012-05-17T15:47:32+08:00 ] /yiyuan/index.php/admin/admin/index | INFO: Tag[ route_check ] --START--
[ 2012-05-17T15:47:32+08:00 ] /yiyuan/index.php/admin/admin/index | INFO: Run CheckRoute Behavior [ RunTime:0.000824s ]
[ 2012-05-17T15:47:32+08:00 ] /yiyuan/index.php/admin/admin/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000909s ]
[ 2012-05-17T15:47:32+08:00 ] /yiyuan/index.php/admin/admin/index | INFO: Tag[ app_begin ] --START--
[ 2012-05-17T15:47:32+08:00 ] /yiyuan/index.php/admin/admin/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000499s ]
[ 2012-05-17T15:47:32+08:00 ] /yiyuan/index.php/admin/admin/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000578s ]
[ 2012-05-17T15:47:32+08:00 ] /yiyuan/index.php/admin/admin/index | NOTIC: [2] Missing argument 1 for baseAction::__construct(), called in D:\xampp\htdocs\yiyuan\ThinkPHP\Common\common.php on line 277 and defined baseAction.class.php 第 8 行.
[ 2012-05-17T15:47:32+08:00 ] /yiyuan/index.php/admin/admin/index | NOTIC: [8] A session had already been started - ignoring session_start() authAction.class.php 第 4 行.
[ 2012-05-17T15:47:32+08:00 ] /yiyuan/index.php/admin/admin/index | NOTIC: [2] in_array() expects parameter 2 to be array, string given authAction.class.php 第 9 行.
[ 2012-05-17T15:47:32+08:00 ] /yiyuan/index.php/admin/admin/index | SQL: SHOW COLUMNS FROM `yiyuan_menu` [ RunTime:0.004453s ]
[ 2012-05-17T15:47:32+08:00 ] /yiyuan/index.php/admin/admin/index | SQL: SELECT * FROM `yiyuan_menu`  [ RunTime:0.000609s ]
[ 2012-05-17T15:47:32+08:00 ] /yiyuan/index.php/admin/admin/index | INFO: Tag[ view_template ] --START--
[ 2012-05-17T15:47:32+08:00 ] /yiyuan/index.php/admin/admin/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001763s ]
[ 2012-05-17T15:47:32+08:00 ] /yiyuan/index.php/admin/admin/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001895s ]
[ 2012-05-17T15:47:32+08:00 ] /yiyuan/index.php/admin/admin/index | INFO: Tag[ view_parse ] --START--
[ 2012-05-17T15:47:32+08:00 ] /yiyuan/index.php/admin/admin/index | INFO: Run ParseTemplate Behavior [ RunTime:0.012114s ]
[ 2012-05-17T15:47:32+08:00 ] /yiyuan/index.php/admin/admin/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.012226s ]
[ 2012-05-17T15:47:32+08:00 ] /yiyuan/index.php/admin/admin/index | INFO: Tag[ view_filter ] --START--
[ 2012-05-17T15:47:32+08:00 ] /yiyuan/index.php/admin/admin/index | INFO: Run ContentReplace Behavior [ RunTime:0.000822s ]
[ 2012-05-17T15:47:32+08:00 ] /yiyuan/index.php/admin/admin/index | INFO: Run TokenBuild Behavior [ RunTime:0.001324s ]
[ 2012-05-17T15:47:32+08:00 ] /yiyuan/index.php/admin/admin/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000634s ]
[ 2012-05-17T15:47:32+08:00 ] /yiyuan/index.php/admin/admin/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000906s ]
[ 2012-05-17T15:47:32+08:00 ] /yiyuan/index.php/admin/admin/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003995s ]
[ 2012-05-17T15:47:32+08:00 ] /yiyuan/index.php/admin/admin/index | INFO: Tag[ view_end ] --START--
[ 2012-05-17T15:47:32+08:00 ] /yiyuan/index.php/admin/admin/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000887s ]
[ 2012-05-17T15:47:32+08:00 ] /yiyuan/index.php/admin/admin/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000983s ]
