[ 2012-08-24T16:07:29+08:00 ] /licms_ex/index.php/ceshi | INFO: Tag[ app_begin ] --START--
[ 2012-08-24T16:07:29+08:00 ] /licms_ex/index.php/ceshi | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000833s ]
[ 2012-08-24T16:07:29+08:00 ] /licms_ex/index.php/ceshi | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000915s ]
[ 2012-08-24T16:07:31+08:00 ] /licms_ex/index.php/ceshi | INFO: Tag[ route_check ] --START--
[ 2012-08-24T16:07:31+08:00 ] /licms_ex/index.php/ceshi | INFO: Run CheckRoute Behavior [ RunTime:0.001661s ]
[ 2012-08-24T16:07:31+08:00 ] /licms_ex/index.php/ceshi | INFO: Tag[ route_check ] --END-- [ RunTime:0.001816s ]
[ 2012-08-24T16:07:31+08:00 ] /licms_ex/index.php/ceshi | INFO: Tag[ app_begin ] --START--
[ 2012-08-24T16:07:31+08:00 ] /licms_ex/index.php/ceshi | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001980s ]
[ 2012-08-24T16:07:31+08:00 ] /licms_ex/index.php/ceshi | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002143s ]
[ 2012-08-24T16:08:04+08:00 ] /licms_ex/index.php/ceshi | INFO: Tag[ route_check ] --START--
[ 2012-08-24T16:08:04+08:00 ] /licms_ex/index.php/ceshi | INFO: Run CheckRoute Behavior [ RunTime:0.001165s ]
[ 2012-08-24T16:08:04+08:00 ] /licms_ex/index.php/ceshi | INFO: Tag[ route_check ] --END-- [ RunTime:0.001251s ]
[ 2012-08-24T16:08:04+08:00 ] /licms_ex/index.php/ceshi | INFO: Tag[ app_begin ] --START--
[ 2012-08-24T16:08:04+08:00 ] /licms_ex/index.php/ceshi | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000844s ]
[ 2012-08-24T16:08:04+08:00 ] /licms_ex/index.php/ceshi | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000916s ]
[ 2012-08-24T16:08:25+08:00 ] /licms_ex/index.php/ceshi | INFO: Tag[ route_check ] --START--
[ 2012-08-24T16:08:25+08:00 ] /licms_ex/index.php/ceshi | INFO: Run CheckRoute Behavior [ RunTime:0.001215s ]
[ 2012-08-24T16:08:25+08:00 ] /licms_ex/index.php/ceshi | INFO: Tag[ route_check ] --END-- [ RunTime:0.001475s ]
[ 2012-08-24T16:08:25+08:00 ] /licms_ex/index.php/ceshi | INFO: Tag[ app_begin ] --START--
[ 2012-08-24T16:08:25+08:00 ] /licms_ex/index.php/ceshi | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000832s ]
[ 2012-08-24T16:08:25+08:00 ] /licms_ex/index.php/ceshi | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000914s ]
[ 2012-08-24T16:08:27+08:00 ] /licms_ex/index.php/ceshi | INFO: Tag[ route_check ] --START--
[ 2012-08-24T16:08:27+08:00 ] /licms_ex/index.php/ceshi | INFO: Run CheckRoute Behavior [ RunTime:0.001059s ]
[ 2012-08-24T16:08:27+08:00 ] /licms_ex/index.php/ceshi | INFO: Tag[ route_check ] --END-- [ RunTime:0.001143s ]
[ 2012-08-24T16:08:27+08:00 ] /licms_ex/index.php/ceshi | INFO: Tag[ app_begin ] --START--
[ 2012-08-24T16:08:27+08:00 ] /licms_ex/index.php/ceshi | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000828s ]
[ 2012-08-24T16:08:27+08:00 ] /licms_ex/index.php/ceshi | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000898s ]
